nil,no,mooc,course_code,course,status,year,level,author,instructor,course_url,grade,certificate,note
,,edX,DAT208x,Introduction to Python for Data Science,done,2017-09-01,Introductory,Microsoft,"Filip Schouwenaars, Jonathan Sanito",https://www.edx.org/course/introduction-to-python-for-data-science-2,97,,
,,edX,ELEN7070x,Research Methods: An Engineering Approach,done,2018-02-01,Introductory,"University of the Witwatersrand, Johannesburg",Ivan Hofsajer,https://www.edx.org/course/research-methods-an-engineering-approach,98,,
,,edX,DEV236x,Introduction to Python: Absolute Beginner,done,2018-04-01,Introductory,Microsoft,Eric Camplin,https://www.edx.org/course/introduction-to-python-absolute-beginner,96,,
,,edx,DEV274x,Introduction to Python: Fundamentals,done,2018-04-02,Introductory,Microsoft,Eric Camplin,https://www.edx.org/course/introduction-to-python-fundamentals,97,,
,,edX,DEV330x,"Introduction to Python: Creating Scalable, Robust, Interactive Code",done,2018-04-02,Intermediate,Microsoft,"Eric Camplin, Anas Salah Eddin, Paige Bailey",https://www.edx.org/course/introduction-to-python-creating-scalable-robust-in,100,,
,,edX,DEV203.1x,Data Science Essentials,done,2018-08-01,Intermediate,Microsoft,"Graeme Malcolm, Steve Elston, Cynthia Rudin",https://www.edx.org/course/data-science-essentials,100,,
,,edX,DEV203.2x,Principles of Machine Learning,done,2018-07-01,Intermediate,Microsoft,"Graeme Malcolm, Steve Elston, Cynthia Rudin",https://www.edx.org/course/principles-of-machine-learning,94,,
,,edX,DAT263x,Introduction to Artificial Intelligence (AI),done,2018-10-01,Introductory,Microsoft,Graeme Malcolm,https://www.edx.org/course/introduction-to-artificial-intelligence-ai-2,90,,
,,edX,DAT256x,Essential Math for Machine Learning: Python Edition,done,2018-10-01,Intermediate,Microsoft,Graeme Malcolm,https://www.edx.org/course/essential-math-for-machine-learning-python-editi-2,96,,
,,edX,DAT273x,Data Science Research Methods: Python Edition,done,2018-10-01,Intermediate,Microsoft,"Ben Olsen, Tom Carpenter",https://www.edx.org/course/data-science-research-methods-python-edition-2,86,,
,,edX,PH526x,Using Python for Research,done,2019-12-07,Intermediate,Harvard,"Jukka-Pekka ""JP"" Onnela",https://www.edx.org/course/using-python-for-research,,https://courses.edx.org/certificates/d087c91ec7a4466b95d1410c7f5cf399,
,,Udemy,,Python for Data Science and Machine Learning Bootcamp,done,2018-10-25,,,Jose Portilla,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,,https://www.udemy.com/certificate/UC-FH5TUFLB/,
,,Udemy,,Machine Learning A-Z™: Hands-On Python & R In Data Science,done,2019-04-26,,,"Kirill Eremenko, Hadelin de Ponteves",https://www.udemy.com/course/machinelearning/,,https://www.udemy.com/certificate/UC-JP40AR7J/,
,,Udemy,,GitHub Ultimate: Master Git and GitHub - Beginner to Expert,done,2019-07-24,,,Jason Taylor,https://www.udemy.com/course/github-ultimate/,,https://www.udemy.com/certificate/UC-GEJ4SXUH/,
,,Udemy,,Deep Learning A-Z™: Hands-On Artificial Neural Networks,done,2019-08-01,,,"Kirill Eremenko, Hadelin de Ponteves",https://www.udemy.com/course/deeplearning/,,https://www.udemy.com/certificate/UC-K81H21ZE/,
,,DataCamp,,Python Programmer,enrolled,,Career Track,,DataCamp,https://www.datacamp.com/tracks/python-programmer?version=2,,,
,,DataCamp,,Data Scientist,next,,Career Track,,DataCamp,https://www.datacamp.com/tracks/data-scientist-with-python?version=2,,,
,,DataCamp,,Python Programming,done,2020-01-01,Skill Track,,"Hugo Bowne-Anderson, Filip Schouwenaars",https://www.datacamp.com/tracks/python-programming?version=1,,https://www.datacamp.com/statement-of-accomplishment/track/3e844f29f9741991b3c3d9d939e10ea4123ee55c,
,,Udemy,,Python for Time Series Data Analysis,next,,,,Jose Portilla,https://www.udemy.com/course/python-for-time-series-data-analysis/,,,
,,Udemy,,Machine Learning Practical Workout | 8 Real-World Projects,next,,,,"Dr. Ryan Ahmed, Ph.D., MBA, Kirill Eremenko, Hadelin de Ponteves, Mitchell Bouchard",https://www.udemy.com/course/deep-learning-machine-learning-practical/,,,
,,,,,,,,,,,,,
